"County","Facility Name","Grouping","Entry","Value"
"Pinellas","St. Petersburg - Southwest","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Southwest","2045 Projected Totals","Total Reuse (MGD)",22.5
"Pinellas","St. Petersburg - Southwest","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",16.87
"Pinellas","St. Petersburg - Northwest","Total Service Area Population","2020",NA
"Pinellas","St. Petersburg - Northwest","Total Service Area Population","2045",NA
"Pinellas","St. Petersburg - Northwest","Septic Population","2020",NA
"Pinellas","St. Petersburg - Northwest","Septic Population","2045",NA
"Pinellas","St. Petersburg - Northwest","Adjusted Service Area Population","2020",NA
"Pinellas","St. Petersburg - Northwest","Adjusted Service Area Population","2045",NA
"Pinellas","St. Petersburg - Northwest","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Pinellas","St. Petersburg - Northwest","2020 Totals","Total WW Flows (MGD)",8.9
"Pinellas","St. Petersburg - Northwest","2020 Totals","Total Reuse (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2020 Totals","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2020 Totals","WW Disposal (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2045 Projected Totals","Total WW Flows (MGD)",8.9
"Pinellas","St. Petersburg - Northwest","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2045 Projected Totals","Total Reuse (MGD)",NA
"Pinellas","St. Petersburg - Northwest","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Pinellas","St. Petersburg - Northeast","Total Service Area Population","2020",NA
"Pinellas","St. Petersburg - Northeast","Total Service Area Population","2045",NA
"Pinellas","St. Petersburg - Northeast","Septic Population","2020",NA
"Pinellas","St. Petersburg - Northeast","Septic Population","2045",NA
"Pinellas","St. Petersburg - Northeast","Adjusted Service Area Population","2020",NA
"Pinellas","St. Petersburg - Northeast","Adjusted Service Area Population","2045",NA
"Pinellas","St. Petersburg - Northeast","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Pinellas","St. Petersburg - Northeast","2020 Totals","Total WW Flows (MGD)",7.49
"Pinellas","St. Petersburg - Northeast","2020 Totals","Total Reuse (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2020 Totals","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2020 Totals","WW Disposal (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2045 Projected Totals","Total WW Flows (MGD)",7.49
"Pinellas","St. Petersburg - Northeast","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2045 Projected Totals","Total Reuse (MGD)",NA
"Pinellas","St. Petersburg - Northeast","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Manatee","Manatee County - Southeast","Total Service Area Population","2020",NA
"Manatee","Manatee County - Southeast","Total Service Area Population","2045",NA
"Manatee","Manatee County - Southeast","Septic Population","2020",NA
"Manatee","Manatee County - Southeast","Septic Population","2045",NA
"Manatee","Manatee County - Southeast","Adjusted Service Area Population","2020",NA
"Manatee","Manatee County - Southeast","Adjusted Service Area Population","2045",NA
"Manatee","Manatee County - Southeast","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Manatee","Manatee County - Southeast","2020 Totals","Total WW Flows (MGD)",7.8
"Manatee","Manatee County - Southeast","2020 Totals","Total Reuse (MGD)",NA
"Manatee","Manatee County - Southeast","2020 Totals","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - Southeast","2020 Totals","WW Disposal (MGD)",NA
"Manatee","Manatee County - Southeast","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Manatee","Manatee County - Southeast","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - Southeast","2045 Projected Totals","Total WW Flows (MGD)",7.8
"Manatee","Manatee County - Southeast","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - Southeast","2045 Projected Totals","Total Reuse (MGD)",NA
"Manatee","Manatee County - Southeast","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Manatee","Manatee County - North","Total Service Area Population","2020",NA
"Manatee","Manatee County - North","Total Service Area Population","2045",NA
"Manatee","Manatee County - North","Septic Population","2020",NA
"Manatee","Manatee County - North","Septic Population","2045",NA
"Manatee","Manatee County - North","Adjusted Service Area Population","2020",NA
"Manatee","Manatee County - North","Adjusted Service Area Population","2045",NA
"Manatee","Manatee County - North","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Manatee","Manatee County - North","2020 Totals","Total WW Flows (MGD)",3.8
"Manatee","Manatee County - North","2020 Totals","Total Reuse (MGD)",NA
"Manatee","Manatee County - North","2020 Totals","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - North","2020 Totals","WW Disposal (MGD)",NA
"Manatee","Manatee County - North","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Manatee","Manatee County - North","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - North","2045 Projected Totals","Total WW Flows (MGD)",3.8
"Manatee","Manatee County - North","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Manatee","Manatee County - North","2045 Projected Totals","Total Reuse (MGD)",NA
"Manatee","Manatee County - North","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Manatee","Palmetto","Total Service Area Population","2020",14267
"Manatee","Palmetto","Total Service Area Population","2045",15146
"Manatee","Palmetto","Septic Population","2020",204
"Manatee","Palmetto","Septic Population","2045",204
"Manatee","Palmetto","Adjusted Service Area Population","2020",14063
"Manatee","Palmetto","Adjusted Service Area Population","2045",14942
"Manatee","Palmetto","Adjusted Service Area Population","2020-2045 Population Increase",879
"Manatee","Palmetto","2020 Totals","Total WW Flows (MGD)",1.48
"Manatee","Palmetto","2020 Totals","Total Reuse (MGD)",1
"Manatee","Palmetto","2020 Totals","Supplemental Flows (MGD)",NA
"Manatee","Palmetto","2020 Totals","WW Disposal (MGD)",0.07
"Manatee","Palmetto","2045 Projected Additional","WW Flow Projection (MGD)",0.06
"Manatee","Palmetto","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Manatee","Palmetto","2045 Projected Totals","Total WW Flows (MGD)",1.54
"Manatee","Palmetto","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Manatee","Palmetto","2045 Projected Totals","Total Reuse (MGD)",1.06
"Manatee","Palmetto","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.8
"Manatee","Bradenton","Total Service Area Population","2020",56829
"Manatee","Bradenton","Total Service Area Population","2045",59463
"Manatee","Bradenton","Septic Population","2020",2
"Manatee","Bradenton","Septic Population","2045",2
"Manatee","Bradenton","Adjusted Service Area Population","2020",56827
"Manatee","Bradenton","Adjusted Service Area Population","2045",59461
"Manatee","Bradenton","Adjusted Service Area Population","2020-2045 Population Increase",2634
"Manatee","Bradenton","2020 Totals","Total WW Flows (MGD)",5.92
"Manatee","Bradenton","2020 Totals","Total Reuse (MGD)",2.76
"Manatee","Bradenton","2020 Totals","Supplemental Flows (MGD)",NA
"Manatee","Bradenton","2020 Totals","WW Disposal (MGD)",2.83
"Manatee","Bradenton","2045 Projected Additional","WW Flow Projection (MGD)",0.18
"Manatee","Bradenton","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Manatee","Bradenton","2045 Projected Totals","Total WW Flows (MGD)",6.1
"Manatee","Bradenton","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Manatee","Bradenton","2045 Projected Totals","Total Reuse (MGD)",2.94
"Manatee","Bradenton","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",2.21
